relative_position,item_name,item_price
0,Cinex,21
1,Heisenberg,21
2,Black City Diesel,21
3,Cobra Lips,21
4,Strawberry Ice,28
5,Cannazilla,21
6,Sweet Cookie Kush,21
7,Triangle Mints,21
8,Black Betty,21
9,Bruce Banner,21
10,Copper Chem,21
11,Super Lemon Haze,21
12,Trainwreck,21
13,Zelly's Gift,21
14,Blue Dream,28
15,Harlequin,28
16,Pineapple,21
17,Gorilla Berries,21
18,Root Beer Float,21
19,Sour Grape,21
20,Blue Dragon Desert Frost,28
21,Bubblegum,28
22,Strawberry Diesel,28
23,Alien OG,21
24,Blueberry Cookies,21
25,CBD Critical,21
26,Diamond of Oregon,21
27,Golden Lemons,21
28,Kush King,21
29,Master Kush,21
30,Pacific G-13,21
31,Salmon River OG,21
32,The Essence,21
33,707 Headband,21
34,Blue Cookies,21
35,Grand Daddy Platinum,21
36,Grand Daddy Purp,21
37,Hollyweed,21
38,Oregon Berry Diesel,21
39,Platinum Gorilla,21
40,Portland Punch,21
41,Raspberry Kush,21
42,Sirius Black,21
43,Star Killer,21
44,Strawberry Banana,21
45,Sweet Dream,21
46,Enigma,28
47,Platinum Huckleberry Cookies,28
48,Dirty Little Secret,21
49,Grape Skunk,21
50,Purple Cadillac,21
51,Zkittles,21
52,Black D.O.G.,21
53,Blackberry Kush,21
54,Cookie Monster,21
55,Grape Ape,21
56,Obama Kush,28
57,Yoduh OG,28
